id,category,subcategory,name,vendor,url,price,purpose,features,target_use,caveats,related_article,priority,source,notes,audience,affiliate_url
repel-001,撃退忌避,スプレー,フロンティアーズマン マックス ベアスプレー 234mL,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899175,"¥12,100",クマ遭遇時の至近距離防御（最終手段）,熊撃退成分配合、携行しやすいサイズ、EPA認証、噴射距離12m,登山、キャンプ、釣り、狩猟,市街地での不要携行は避ける。風向き・射程・誤噴射に注意。航空機持込不可,https://kuma-watch.jp/articles/bear-spray,高,両方,モンベル取扱で認知高,"個人,自治体",
repel-002,撃退忌避,スプレー,フロンティアーズマン マックス ベアスプレー 272mL,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899176,"¥13,200",クマ遭遇時の至近距離防御（大容量）,12m長距離噴射、大容量、7〜8秒噴射、EPA認証,ヒグマ地域、山奥作業、キャンプ,航空機持込不可。ホルスター併用推奨,https://kuma-watch.jp/articles/bear-spray,高,両方,北海道向け推奨／URL修正済,"個人,自治体",
repel-003,撃退忌避,スプレー,熊撃退スプレー カウンターアソールト CA230,Counter Assault (USA) / モチヅキ・アウトバック輸入,https://e-mot.co.jp/counter-assault/,"¥20,000前後",クマ遭遇時の至近距離防御,唐辛子エキスを5〜10m噴射、カプサイシン2%、EPA登録、有効期限5年、知床財団・道警採用,北海道、東北、山林作業、業務,正規品・有効期限確認。使用訓練と即応携行が重要,https://kuma-watch.jp/articles/bear-spray,高,両方,日本の研究者・自治体採用率トップ,"個人,自治体",
repel-004,撃退忌避,スプレー,Counter Assault CA290 Stronger,Counter Assault (USA) / モチヅキ,https://outback.cup.com/counter_assault.html,"22,000〜24,200円",ヒグマ生息地のプロ向け,噴射10.5〜12m／9.2秒、290g、EPA登録、カプサイシノイド2%,ヒグマ域・業務用,航空機持込不可、正規品確認,https://kuma-watch.jp/articles/bear-spray,高,初回調査,,"個人,自治体",
repel-005,撃退忌避,スプレー,UDAP 12HP / Griz Guard / Pepper Power,UDAP Industries (USA) / UDAP認定輸入代理店,https://udap.base.shop/,"6,480〜13,000円",クマ遭遇時の至近距離防御,カプサイシノイド2%、噴射9〜11m、米国森林警備隊採用、特許Griz Guardホルスター,個人（登山・狩猟）,正規輸入品を選ぶ,https://kuma-watch.jp/articles/bear-spray,高,初回調査,コスパに優れる,"個人,自治体",
repel-006,撃退忌避,スプレー,熊一目散,バイオ科学株式会社（徳島県阿南市）,https://www.tiemco.co.jp/Form/Product/ProductDetail.aspx?shop=0&pid=1240001&bid=lurefishing&cat=001001005006,"¥9,900（本体）／¥14,080（ホルダー付）",国産クマ撃退スプレー,2025年5月発売の日本初純国産。酪農学園大学・佐藤喜和教授との共同開発（3年間開発・特許出願中）、カプサイシン2%以上、容量280ml、噴射約10m、連続噴射約10秒、使用期限5年、対象：ヒグマ/ツキノワグマ/イノシシ/サル等。EPA性能ガイドライン準拠,個人・農林業,海外製品と同等性能で安価。TIEMCO・モノタロウ・好日山荘等で取扱,https://kuma-watch.jp/articles/bear-spray,高,初回調査,国産唯一の本格スプレー／情報修正済,"個人,自治体",
repel-007,撃退忌避,スプレー,POLICE MAGNUM B-609／B-610,POLICE MAGNUM (USA),https://www.amazon.co.jp/,数千円,対人催涙スプレー（参考）,容量小、EPA基準は満たさず実質「対人催涙スプレー」。複数国公立機関採用品/JSDPA認定品を称するが、専門家は熊用としては非推奨,—,専門家は熊対策としては非推奨。誤情報注意喚起の対象,https://kuma-watch.jp/articles/bear-spray,低,初回調査,記事内で注意喚起すべき,"個人,自治体",
repel-008,撃退忌避,練習用品,フロンティアーズマン プラクティススプレー 234mL,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899164,"¥4,800",スプレー噴射の練習,刺激成分なしの練習用スプレー、本番と同じ重量・操作感,初心者、団体研修、自治体研修,本番用と混同しないよう保管管理,https://kuma-watch.jp/articles/bear-spray,中,添付,研修・教育コンテンツに最適／URL修正済,"個人,自治体",
repel-009,撃退忌避,携行補助,ベルトホルスター（フロンティアーズマン用）,SABRE / モンベル取扱,https://webshop.montbell.jp/goods/disp.php?product_id=1899178,"¥1,900",ベアスプレーを即座に取り出す,フロンティアーズマン用ホルスター、腰・胸元装着,ベアスプレー携行時,ザック内では間に合わないため腰・胸元へ,https://kuma-watch.jp/articles/bear-spray,高,添付,スプレーとセット販売推奨,個人,
repel-010,撃退忌避,クマ鈴,トレッキングベル スクエア サイレント モンタベア,モンベル,https://webshop.montbell.jp/goods/disp.php?product_id=1134332,"¥1,700",人の存在を知らせる,カラビナ付き、マグネットで消音可能、44g,登山、山菜採り、渓流釣り,単独行・見通しの悪い場所で有用。過信せず周囲確認を併用,https://kuma-watch.jp/articles/bear-bell,高,両方,消音機能つきの定番,個人,
